Vdm, Vout
0.07107107107107108,4.81
0.07147147147147148,4.81
0.07187187187187188,4.815
0.07227227227227229,4.815
0.07267267267267269,4.815
0.07307307307307309,4.815
0.0734734734734735,4.815
0.0738738738738739,4.82
0.0742742742742743,4.82
0.0746746746746747,4.82
0.0750750750750751,4.82
0.07547547547547545,4.82
0.07587587587587585,4.82
0.07627627627627626,4.825
0.07667667667667666,4.825
0.07707707707707706,4.825
0.07747747747747746,4.825
0.07787787787787787,4.825
0.07827827827827827,4.825
0.07867867867867867,4.825
0.07907907907907907,4.83
0.07947947947947948,4.83
0.07987987987987988,4.83
0.08028028028028028,4.825
0.08068068068068068,4.83
0.08108108108108109,4.83
0.08148148148148149,4.83
0.08188188188188189,4.83
0.08228228228228229,4.835
0.0826826826826827,4.835
0.0830830830830831,4.835
0.0834834834834835,4.835
0.0838838838838839,4.835
0.0842842842842843,4.84
0.08468468468468471,4.84
0.08508508508508511,4.84
0.08548548548548551,4.84
0.08588588588588592,4.84
0.08628628628628626,4.84
0.08668668668668666,4.84
0.08708708708708707,4.84
0.08748748748748747,4.845
0.08788788788788787,4.845
0.08828828828828827,4.845
0.08868868868868868,4.845
0.08908908908908908,4.845
0.08948948948948948,4.845
0.08988988988988988,4.845
0.09029029029029029,4.85
0.09069069069069069,4.85
0.09109109109109109,4.85
0.0914914914914915,4.85
0.0918918918918919,4.85
0.0922922922922923,4.85
0.0926926926926927,4.85
0.0930930930930931,4.85
0.0934934934934935,4.855
0.09389389389389391,4.855
0.09429429429429431,4.855
0.09469469469469471,4.855
0.09509509509509512,4.855
0.09549549549549552,4.855
0.09589589589589592,4.86
0.09629629629629632,4.86
0.09669669669669673,4.86
0.09709709709709707,4.86
0.09749749749749748,4.86
0.09789789789789788,4.86
0.09829829829829828,4.86
0.09869869869869868,4.86
0.09909909909909909,4.86
0.09949949949949949,4.86
0.09989989989989989,4.865
0.1003003003003003,4.865
0.1007007007007007,4.865
0.1011011011011011,4.865
0.1015015015015015,4.865
0.1019019019019019,4.865
0.1023023023023023,4.87
0.10270270270270271,4.865
0.10310310310310311,4.865
0.10350350350350351,4.87
0.10390390390390392,4.865
0.10430430430430432,4.87
0.10470470470470472,4.87
0.10510510510510512,4.87
0.10550550550550553,4.87
0.10590590590590593,4.87
0.10630630630630633,4.87
0.10670670670670673,4.87
0.10710710710710714,4.875
0.10750750750750754,4.875
0.10790790790790789,4.875
0.10830830830830829,4.875
0.10870870870870869,4.875
0.10910910910910909,4.875
0.1095095095095095,4.875
0.1099099099099099,4.875
0.1103103103103103,4.88
0.1107107107107107,4.88
0.1111111111111111,4.88
0.11151151151151151,4.88
0.11191191191191191,4.88
0.11231231231231231,4.88
0.11271271271271271,4.88
0.11311311311311312,4.88
0.11351351351351352,4.88
0.11391391391391392,4.885
0.11431431431431432,4.885
0.11471471471471473,4.885
0.11511511511511513,4.885
0.11551551551551553,4.885
0.11591591591591593,4.885
0.11631631631631634,4.885
0.11671671671671674,4.885
0.11711711711711714,4.885
0.11751751751751754,4.885
0.11791791791791795,4.89
0.1183183183183183,4.89
0.1187187187187187,4.89
0.1191191191191191,4.89
0.1195195195195195,4.89
0.1199199199199199,4.89
0.1203203203203203,4.89
0.12072072072072071,4.89
0.12112112112112111,4.89
0.12152152152152151,4.895
0.12192192192192192,4.89
0.12232232232232232,4.895
0.12272272272272272,4.895
0.12312312312312312,4.895
0.12352352352352353,4.895
